Designator,Footprint,Quantity,Value,LCSC Part #
D2,DO-214AC,1,C8678,
D1,DO-214AC,1,C8678,
C45,CP_Elec_6.3x3,1,100u,
C49,CP_Elec_6.3x3,1,100u,
C43,CP_Elec_6.3x3,1,100u,
C46,CP_Elec_6.3x3,1,100u,
C47,CP_Elec_6.3x3,1,100u,
C44,CP_Elec_6.3x3,1,100u,
C33,C_0603_1608Metric,1,2.2u,
C32,C_0603_1608Metric,1,10u,
C30,C_0603_1608Metric,1,2.2u,
C29,C_0603_1608Metric,1,10u,
C27,C_0603_1608Metric,1,2.2u,
C26,C_0603_1608Metric,1,10u,
C24,C_0603_1608Metric,1,2.2u,
C23,C_0603_1608Metric,1,10u,
C6,C_0402_1005Metric,1,100nF,
C53,C_0402_1005Metric,1,560p,
C52,C_0402_1005Metric,1,560p,
C51,C_0402_1005Metric,1,560p,
C50,C_0402_1005Metric,1,560p,
C42,C_0402_1005Metric,1,33p,
C41,C_0402_1005Metric,1,33p,
C40,C_0402_1005Metric,1,33p,
C39,C_0402_1005Metric,1,33p,
C38,C_0402_1005Metric,1,100n,
C37,C_0402_1005Metric,1,100n,
C36,C_0402_1005Metric,1,100n,
C35,C_0402_1005Metric,1,100n,
C34,C_0402_1005Metric,1,100n,
C31,C_0402_1005Metric,1,100n,
C28,C_0402_1005Metric,1,100n,
C25,C_0402_1005Metric,1,100n,
C22,C_0402_1005Metric,1,33p,
C21,C_0402_1005Metric,1,100n,
C20,C_0402_1005Metric,1,33p,
C19,C_0402_1005Metric,1,100n,
C18,C_0402_1005Metric,1,33p,
C17,C_0402_1005Metric,1,33p,
C16,C_0402_1005Metric,1,100n,
C15,C_0402_1005Metric,1,100n,
C14,C_0402_1005Metric,1,33p,
C13,C_0402_1005Metric,1,33p,
C12,C_0402_1005Metric,1,33p,
C11,C_0402_1005Metric,1,33p,
C10,C_0402_1005Metric,1,100n,
C9,C_0402_1005Metric,1,100n,
C8,C_0402_1005Metric,1,100n,
C7,C_0402_1005Metric,1,100n,
C4,C_0402_1005Metric,1,33p,
C3,C_0402_1005Metric,1,33p,
C2,C_0402_1005Metric,1,33p,
C1,C_0402_1005Metric,1,33p,
R27,R_0402_1005Metric,1,30k,
R134,R_0402_1005Metric,1,500,
R133,R_0402_1005Metric,1,500,
R132,R_0402_1005Metric,1,500,
R131,R_0402_1005Metric,1,500,
R92,R_0402_1005Metric,1,56,
R89,R_0402_1005Metric,1,56,
R86,R_0402_1005Metric,1,56,
R83,R_0402_1005Metric,1,56,
R80,R_0402_1005Metric,1,68,
R79,R_0402_1005Metric,1,68,
R78,R_0402_1005Metric,1,68,
R77,R_0402_1005Metric,1,68,
R76,R_0402_1005Metric,1,68,
R74,R_0402_1005Metric,1,68,
R73,R_0402_1005Metric,1,68,
R72,R_0402_1005Metric,1,68,
R71,R_0402_1005Metric,1,68,
R70,R_0402_1005Metric,1,68,
R68,R_0402_1005Metric,1,68,
R67,R_0402_1005Metric,1,68,
R66,R_0402_1005Metric,1,68,
R65,R_0402_1005Metric,1,68,
R64,R_0402_1005Metric,1,68,
R62,R_0402_1005Metric,1,68,
R61,R_0402_1005Metric,1,68,
R60,R_0402_1005Metric,1,68,
R59,R_0402_1005Metric,1,68,
R58,R_0402_1005Metric,1,68,
R25,R_0402_1005Metric,1,56,
R19,R_0402_1005Metric,1,56,
R13,R_0402_1005Metric,1,56,
R7,R_0402_1005Metric,1,56,
R115,R_0402_1005Metric,1,100k,
R109,R_0402_1005Metric,1,10k,
R101,R_0402_1005Metric,1,100k,
R95,R_0402_1005Metric,1,10k,
R94,R_0402_1005Metric,1,100k,
R91,R_0402_1005Metric,1,100k,
R88,R_0402_1005Metric,1,100k,
R85,R_0402_1005Metric,1,100k,
R81,R_0402_1005Metric,1,10k,
R75,R_0402_1005Metric,1,10k,
R69,R_0402_1005Metric,1,10k,
R63,R_0402_1005Metric,1,10k,
R57,R_0402_1005Metric,1,10k,
R54,R_0402_1005Metric,1,30k,
R53,R_0402_1005Metric,1,10k,
R50,R_0402_1005Metric,1,30k,
R49,R_0402_1005Metric,1,30k,
R47,R_0402_1005Metric,1,30k,
R45,R_0402_1005Metric,1,30k,
R43,R_0402_1005Metric,1,30k,
R41,R_0402_1005Metric,1,30k,
R39,R_0402_1005Metric,1,30k,
R37,R_0402_1005Metric,1,30k,
R35,R_0402_1005Metric,1,30k,
R33,R_0402_1005Metric,1,30k,
R32,R_0402_1005Metric,1,30k,
R31,R_0402_1005Metric,1,30k,
R30,R_0402_1005Metric,1,30k,
R28,R_0402_1005Metric,1,30k,
R26,R_0402_1005Metric,1,10k,
R21,R_0402_1005Metric,1,100k,
R15,R_0402_1005Metric,1,100k,
R9,R_0402_1005Metric,1,100k,
R2,R_0402_1005Metric,1,100k,
R99,R_0603_1608Metric,1,120,
R130,R_0603_1608Metric,1,1k,
R129,R_0603_1608Metric,1,1k,
R128,R_0603_1608Metric,1,1k,
R127,R_0603_1608Metric,1,1k,
R126,R_0603_1608Metric,1,1k,
R125,R_0603_1608Metric,1,1k,
R124,R_0603_1608Metric,1,1k,
R123,R_0603_1608Metric,1,1k,
R122,R_0603_1608Metric,1,4.7k,
R121,R_0603_1608Metric,1,4.7k,
R120,R_0603_1608Metric,1,120,
R119,R_0603_1608Metric,1,470,
R118,R_0603_1608Metric,1,120,
R117,R_0603_1608Metric,1,10,
R116,R_0603_1608Metric,1,10,
R114,R_0603_1608Metric,1,2.2k,
R113,R_0603_1608Metric,1,120,
R112,R_0603_1608Metric,1,120,
R111,R_0603_1608Metric,1,10,
R110,R_0603_1608Metric,1,10,
R108,R_0603_1608Metric,1,4.7k,
R107,R_0603_1608Metric,1,4.7k,
R106,R_0603_1608Metric,1,120,
R105,R_0603_1608Metric,1,470,
R104,R_0603_1608Metric,1,120,
R103,R_0603_1608Metric,1,10,
R102,R_0603_1608Metric,1,10,
R100,R_0603_1608Metric,1,2.2k,
R98,R_0603_1608Metric,1,120,
R97,R_0603_1608Metric,1,10,
R96,R_0603_1608Metric,1,10,
R93,R_0603_1608Metric,1,43k,
R90,R_0603_1608Metric,1,43k,
R87,R_0603_1608Metric,1,43k,
R84,R_0603_1608Metric,1,43k,
R82,R_0603_1608Metric,1,15k,
R56,R_0603_1608Metric,1,200k,
R55,R_0603_1608Metric,1,20k,
R52,R_0603_1608Metric,1,110k,
R51,R_0603_1608Metric,1,110k,
R48,R_0603_1608Metric,1,150k,
R46,R_0603_1608Metric,1,100,
R44,R_0603_1608Metric,1,150k,
R42,R_0603_1608Metric,1,100,
R40,R_0603_1608Metric,1,150k,
R38,R_0603_1608Metric,1,100,
R36,R_0603_1608Metric,1,150k,
R34,R_0603_1608Metric,1,100,
R23,R_0603_1608Metric,1,2k,
R22,R_0603_1608Metric,1,33k,
R17,R_0603_1608Metric,1,2k,
R16,R_0603_1608Metric,1,33k,
R11,R_0603_1608Metric,1,2k,
R10,R_0603_1608Metric,1,33k,
R5,R_0603_1608Metric,1,2k,
R3,R_0603_1608Metric,1,33k,
R1,R_0603_1608Metric,1,7.5k,
R29,ALPS_POT_SQUAREHOLES,1,100kB,
R24,ALPS_POT_SQUAREHOLES,1,100kB,
R20,ALPS_POT_SQUAREHOLES,1,10kB,
R18,ALPS_POT_SQUAREHOLES,1,100kB,
R14,ALPS_POT_SQUAREHOLES,1,10kB,
R12,ALPS_POT_SQUAREHOLES,1,100kB,
R8,ALPS_POT_SQUAREHOLES,1,10kB,
R6,ALPS_POT_SQUAREHOLES,1,100kB,
R4,ALPS_POT_SQUAREHOLES,1,10kB,
OUTLINE1,EURORACK12HPPCB,1,EURORACK_PCB12HP,
JACK9,3.5MM-JACK-SWITCH-13MM-NOHOLES-TESTPAD,1,AUDIO-JACK_SMALLSYMBOL,
JACK8,3.5MM-JACK-SWITCH-13MM-NOHOLES-TESTPAD,1,AUDIO-JACK_SMALLSYMBOL,
JACK7,3.5MM-JACK-SWITCH-13MM-NOHOLES-TESTPAD,1,AUDIO-JACK_SMALLSYMBOL,
JACK6,3.5MM-JACK-SWITCH-13MM-NOHOLES-TESTPAD,1,AUDIO-JACK_SMALLSYMBOL,
JACK5,3.5MM-JACK-SWITCH-13MM-NOHOLES-TESTPAD,1,AUDIO-JACK_SMALLSYMBOL,
JACK4,3.5MM-JACK-SWITCH-13MM-NOHOLES-TESTPAD,1,AUDIO-JACK_SMALLSYMBOL,
JACK3,3.5MM-JACK-SWITCH-13MM-NOHOLES-TESTPAD,1,AUDIO-JACK_SMALLSYMBOL,
JACK2,3.5MM-JACK-SWITCH-13MM-NOHOLES-TESTPAD,1,AUDIO-JACK_SMALLSYMBOL,
JACK1,3.5MM-JACK-SWITCH-13MM-NOHOLES-TESTPAD,1,AUDIO-JACK_SMALLSYMBOL,
J14,POWER_16_SHROUDED,1,POWERSHROUDED,
C48,CASE-A_3216,1,10uF,
C5,CASE-A_3216,1,10uF,
U10,TSSOP-14_4.4x5mm_P0.65mm,1,TL074,
U11,TSSOP-14_4.4x5mm_P0.65mm,1,TL074,
Q5,SOT-23,1,MMBT3904,
D16,3MMLED,1,LED3MM,
D5,D_SOD-123,1,1N4148W,
U9,SIP9_Housing,1,KA2284,
Q8,SOT-23,1,MMBT3906,
D8,D_SOD-123,1,1N4148W,
D35,SOT-323_SC-70,1,BAS16W,
D9,D_SOD-123,1,1N4148W,
FID6,Fiducial_1mm_Mask2mm,1,Fiducial,
Q2,SOT-23,1,MMBT3904,
FID2,Fiducial_1mm_Mask2mm,1,Fiducial,
D27,3MMLED,1,LED3MM,
U3,TSSOP-14_4.4x5mm_P0.65mm,1,TL074,
D19,3MMLED,1,LED3MM,
U4,TSSOP-14_4.4x5mm_P0.65mm,1,TL074,
Q3,SOT-23,1,MMBT3906,
U1,SOT95P237X112-3N,1,LM4040DIM3-5.0,
D22,3MMLED,1,LED3MM,
D30,3MMLED,1,LED3MM,
U6,SIP9_Housing,1,KA2284,
D7,D_SOD-123,1,1N4148W,
D29,3MMLED,1,LED3MM,
D28,3MMLED,1,LED3MM,
Q1,SOT-23,1,MMBT3904,
D24,3MMLED,1,LED3MM,
D6,D_SOD-123,1,1N4148W,
D17,3MMLED,1,LED3MM,
D25,3MMLED,1,LED3MM,
D11,D_SOD-123,1,1N4148W,
D26,3MMLED,1,LED3MM,
U5,TSSOP-14_4.4x5mm_P0.65mm,1,TL074,
D3,D_SOD-123,1,1N4148W,
D4,D_SOD-123,1,1N4148W,
D10,D_SOD-123,1,1N4148W,
D32,SOT-323_SC-70,1,BAS16W,
Q4,SOT-23,1,MMBT3906,
D12,3MMLED,1,LED3MM,
Q7,SOT-23,1,MMBT3906,
D31,3MMLED,1,LED3MM,
U2,SOIC-16_3.9x9.9mm_P1.27mm,1,SSI2164,
D20,3MMLED,1,LED3MM,
D15,3MMLED,1,LED3MM,
D13,3MMLED,1,LED3MM,
Q6,SOT-23,1,MMBT3904,
D18,3MMLED,1,LED3MM,
D23,3MMLED,1,LED3MM,
U8,SIP9_Housing,1,KA2284,
D34,SOT-323_SC-70,1,BAS16W,
U7,SIP9_Housing,1,KA2284,
D33,SOT-323_SC-70,1,BAS16W,
FID1,Fiducial_1mm_Mask2mm,1,Fiducial,
D14,3MMLED,1,LED3MM,
D21,3MMLED,1,LED3MM,
FID5,Fiducial_1mm_Mask2mm,1,Fiducial,
FID3,Fiducial_1mm_Mask2mm,1,Fiducial,
FID4,Fiducial_1mm_Mask2mm,1,Fiducial,
J2,PinHeader_2x05_P2.54mm_Vertical,1,Conn_02x05_Odd_Even,
J1,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
JP1,SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm,1,SolderJumper_3_Bridged12,
